First Attempt,Anon Student Id,Problem,KC (Original)
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(POOL-AREA QUESTION1),ALT:PARALLELOGRAM-AREA
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(POOL-AREA QUESTION2),ALT:PARALLELOGRAM-AREA
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(POOL-AREA QUESTION3),ALT:PARALLELOGRAM-AREA
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(LARGE-RECTANGLE-AREA QUESTION1),ALT:PARALLELOGRAM-AREA
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(LARGE-RECTANGLE-AREA QUESTION2),ALT:PARALLELOGRAM-AREA
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(LARGE-RECTANGLE-AREA QUESTION3),ALT:PARALLELOGRAM-AREA
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(SIDEWALK-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(SIDEWALK-AREA QUESTION2),ALT:COMPOSE-BY-ADDITION
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaBUILDING_A_SIDEWALK(SIDEWALK-AREA QUESTION3),ALT:COMPOSE-BY-ADDITION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_CIRCLE(CIRCLE-AREA_A QUESTION1),ALT:CIRCLE-AREA
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_CIRCLE(CIRCLE-AREA_O QUESTION1),ALT:CIRCLE-AREA
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_CIRCLE(CIRCLE-AREA_S QUESTION1),ALT:CIRCLE-AREA
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_CIRCLE(UNSHADED-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_CIRCLE(SHADED-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(SQUARE-BASE QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(SQUARE-BASE QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(SQUARE-AREA QUESTION1),ALT:PARALLELOGRAM-AREA
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(SQUARE-AREA QUESTION1),ALT:PARALLELOGRAM-AREA
1,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(CIRCLE-AREA QUESTION1),ALT:CIRCLE-AREA
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(CIRCLE-AREA QUESTION1),ALT:CIRCLE-AREA
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(UNSHADED-AREA QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(UNSHADED-AREA QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(SHADED-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaTWO_CIRCLES_IN_SQUARE(SHADED-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION
2,Stu_c0bf45c22dc46067350d304ce330067e,Unit AreaPOGS(SQUARE-AREA QUESTION1),ALT:PARALLELOGRAM-AREA
